valences,words
3,sparkles
3,sparkling
-2,speculative
1,spirit
2,spirited
-2,spiritless
-2,spiteful
3,splendid
2,sprightly
-1,squelched
-2,stab
-2,stabbed
2,stable
-2,stabs
-2,stall
-2,stalled
-2,stalling
2,stamina
-2,stampede
-2,startled
-2,starve
-2,starved
-2,starves
-2,starving
2,steadfast
-2,steal
-2,steals
-2,stereotype
-2,stereotyped
-1,stifled
1,stimulate
1,stimulated
1,stimulates
2,stimulating
-2,stingy
-2,stolen
-1,stop
-1,stopped
-1,stopping
-1,stops
2,stout
1,straight
-1,strange
-1,strangely
-2,strangled
2,strength
2,strengthen
2,strengthened
2,strengthening
2,strengthens
-2,stressed
-2,stressor
-2,stressors
-2,stricken
-1,strike
-2,strikers
-1,strikes
2,strong
2,stronger
2,strongest
-1,struck
-2,struggle
-2,struggled
-2,struggles
-2,struggling
-2,stubborn
-2,stuck
-2,stunned
4,stunning
-2,stupid
-2,stupidly
2,suave
1,substantial
1,substantially
-2,subversive
2,success
3,successful
-3,suck
-3,sucks
-2,suffer
-2,suffering
-2,suffers
-2,suicidal
-2,suicide
-2,suing
-2,sulking
-2,sulky
-2,sullen
2,sunshine
3,super
5,superb
2,superior
2,support
2,supported
1,supporter
1,supporters
1,supporting
2,supportive
2,supports
2,survived
2,surviving
2,survivor
-1,suspect
-1,suspected
-1,suspecting
-1,suspects
-1,suspend
-1,suspended
-2,suspicious
-2,swear
-2,swearing
-2,swears
2,sweet
2,swift
2,swiftly
-3,swindle
-3,swindles
-3,swindling
2,sympathetic
2,sympathy
-2,tard
-2,tears
2,tender
-2,tense
-1,tension
-3,terrible
-3,terribly
4,terrific
-3,terrified
-3,terror
-3,terrorize
-3,terrorized
-3,terrorizes
2,thank
2,thankful
2,thanks
-2,thorny
2,thoughtful
-2,thoughtless
-2,threat
-2,threaten
-2,threatened
-2,threatening
-2,threatens
-2,threats
5,thrilled
-2,thwart
-2,thwarted
-2,thwarting
-2,thwarts
-2,timid
-2,timorous
-2,tired
-2,tits
2,tolerant
-2,toothless
2,top
2,tops
-2,torn
-4,torture
-4,tortured
-4,tortures
-4,torturing
-2,totalitarian
-2,totalitarianism
-2,tout
-2,touted
-2,touting
-2,touts
-2,tragedy
-2,tragic
2,tranquil
-1,trap
-2,trapped
-3,trauma
-3,traumatic
-2,travesty
-3,treason
-3,treasonous
2,treasure
2,treasures
-2,trembling
-2,tremulous
-2,tricked
-2,trickery
4,triumph
4,triumphant
-2,trouble
-2,troubled
-2,troubles
2,true
1,trust
2,trusted
-2,tumor
-5,twat
-3,ugly
-2,unacceptable
-2,unappreciated
-2,unapproved
-2,unaware
-1,unbelievable
-1,unbelieving
2,unbiased
-1,uncertain
-1,unclear
-2,uncomfortable
-2,unconcerned
-1,unconfirmed
-1,unconvinced
-1,uncredited
-1,undecided
-1,underestimate
-1,underestimated
-1,underestimates
-1,underestimating
-2,undermine
-2,undermined
-2,undermines
-2,undermining
-2,undeserving
-2,undesirable
-2,uneasy
-2,unemployment
-1,unequal
2,unequaled
-2,unethical
-2,unfair
-2,unfocused
-2,unfulfilled
-2,unhappy
-2,unhealthy
1,unified
-2,unimpressed
-2,unintelligent
1,united
-2,unjust
-2,unlovable
-2,unloved
1,unmatched
-2,unmotivated
-2,unprofessional
-2,unresearched
-2,unsatisfied
-2,unsecured
-1,unsettled
-2,unsophisticated
-2,unstable
2,unstoppable
-2,unsupported
-1,unsure
2,untarnished
-2,unwanted
-2,unworthy
-2,upset
-2,upsets
-2,upsetting
-2,uptight
-1,urgent
2,useful
2,usefulness
-2,useless
-2,uselessness
-2,vague
1,validate
1,validated
1,validates
1,validating
-1,verdict
-1,verdicts
1,vested
-2,vexation
-2,vexing
3,vibrant
-2,vicious
-3,victim
-3,victimize
-3,victimized
-3,victimizes
-3,victimizing
-3,victims
3,vigilant
-3,vile
2,vindicate
2,vindicated
2,vindicates
2,vindicating
-2,violate
-2,violated
-2,violates
-2,violating
-3,violence
-3,violent
2,virtuous
-2,virulent
1,vision
3,visionary
1,visioning
1,visions
3,vitality
1,vitamin
-3,vitriolic
3,vivacious
-1,vociferous
-2,vulnerability
-2,vulnerable
-2,walkout
-2,walkouts
-3,wanker
1,want
-2,war
-2,warfare
1,warm
2,warmth
-2,warn
-2,warned
-3,warning
-3,warnings
-2,warns
-1,waste
-2,wasted
-2,wasting
-1,wavering
-2,weak
-2,weakness
3,wealth
2,wealthy
-2,weary
-2,weep
-2,weeping
-2,weird
2,welcome
2,welcomed
2,welcomes
1,whimsical
-3,whitewash
-4,whore
-2,wicked
-1,widowed
2,willingness
4,win
4,winner
4,winning
4,wins
3,winwin
1,wish
1,wishes
1,wishing
-3,withdrawal
-2,woebegone
-3,woeful
3,won
4,wonderful
3,woo
3,woohoo
4,wooo
4,woow
-1,worn
-3,worried
-3,worry
-3,worrying
-3,worse
-3,worsen
-3,worsened
-3,worsening
-3,worsens
3,worshiped
-3,worst
2,worth
-2,worthless
2,worthy
4,wow
4,wowow
4,wowww
-3,wrathful
-2,wreck
-2,wrong
-2,wronged
-4,wtf
1,yeah
1,yearning
2,yeees
1,yes
2,youthful
-2,yucky
3,yummy
-2,zealot
-2,zealots
2,zealous
